county,state,year,fat_amount
Sevier,TN,2000,184
Beaufort,SC,2000,184
Natrona,WY,2000,184
Jackson,IN,2000,182
Clinton,NY,2000,182
Orangeburg,SC,2000,182
Cayuga,NY,2000,182
White,AR,2000,182
Clarke,GA,2000,182
Auglaize,OH,2000,182
Gibson,TN,2000,180
Faulkner,AR,2000,180
Warren,KY,2000,180
Parker,TX,2000,180
Warren,NY,2000,180
Buchanan,MO,2000,180
Bennington,VT,2000,178
Douglas,KS,2000,178
Jackson,MS,2000,178
Salem City,VA,2000,178
Douglas,GA,2000,176
Otter Tail,MN,2000,176
Coos,OR,2000,176
Oxford,ME,2000,176
Greenwood,SC,2000,176
Scott,MO,2000,174
Pinal,AZ,2000,174
Guadalupe,TX,2000,174
Twin Falls,ID,2000,174
Ascension Parish,LA,2000,174
Adams,IL,2000,174
Knox,ME,2000,172
Carroll,NH,2000,172
Coweta,GA,2000,172
Sumter,SC,2000,172
Winston,AL,2000,172
Ravalli,MT,2000,172
Montcalm,MI,2000,172
Pulaski,KY,2000,172
Douglas,MN,2000,170
Columbia,GA,2000,170
St. Lawrence,NY,2000,170
Shiawassee,MI,2000,170
Darke,OH,2000,170
Oconee,SC,2000,170
Hall,NE,2000,168
Henderson,KY,2000,168
Chickasaw,MS,2000,168
Montgomery,NY,2000,168
Olmsted,MN,2000,168
Rockdale,GA,2000,168
Orange,TX,2000,168
Canadian,OK,2000,168
Alexander,NC,2000,168
Wayne,NC,2000,166
Jefferson,NY,2000,166
Saline,KS,2000,166
Marion,OH,2000,166
Chelan,WA,2000,166
Mifflin,PA,2000,166
Shelby,IN,2000,166
Angelina,TX,2000,166
Craven,NC,2000,164
Lauderdale,MS,2000,164
Portage,WI,2000,164
Howell,MO,2000,164
Bedford,VA,2000,162
Forsyth,GA,2000,162
Putnam,NY,2000,162
Goodhue,MN,2000,162
Chenango,NY,2000,162
Dougherty,GA,2000,162
Lincoln,ME,2000,162
Saline,AR,2000,160
St. Johns,FL,2000,160
Wabash,IN,2000,160
Steuben,NY,2000,160
Hendricks,IN,2000,160
Montgomery,NC,2000,160
Pope,AR,2000,158
Midland,MI,2000,158
Kendall,IL,2000,158
Jackson,AL,2000,158
Cape May,NJ,2000,158
Steele,MN,2000,158
Huntington,IN,2000,158
Somerset,ME,2000,158
Cherokee,TX,2000,158
Columbia,NY,2000,158
Tuolumne,CA,2000,158
Montgomery,TN,2000,158
Hampton City,VA,2000,156
Sanilac,MI,2000,156
Harrison,TX,2000,156
Wood,WV,2000,156
Rapides Parish,LA,2000,154
Story,IA,2000,154
Harnett,NC,2000,154
Armstrong,PA,2000,154
Grant,IN,2000,154
Otsego,NY,2000,152
Pontotoc,MS,2000,152
Walker,GA,2000,152
Robertson,TN,2000,152
Crawford,KS,2000,152
Bowie,TX,2000,152
Lenoir,NC,2000,152
Clallam,WA,2000,152
Madison,KY,2000,152
Muskogee,OK,2000,152
Coffee,TN,2000,152
Cass,MI,2000,152
Hernando,FL,2000,152
San Benito,CA,2000,150
Douglas,IL,2000,150
Monroe,FL,2000,150
Habersham,GA,2000,150
Orange,NC,2000,150
Ionia,MI,2000,150
Maury,TN,2000,150
Chatham,NC,2000,150
Umatilla,OR,2000,150
