,State,County,year,avg(NO2 Mean),Population,Area,Deaths,pollution_death,resp_death,circ_death,canc_death,resp_circ_death,Crude Rate,pollution_Crude_Rate,resp_Crude_Rate,circ_Crude_Rate,canc_Crude_Rate,resp_circ_Crude_Rate,population_density,NO2_fiveyears
54,Arizona,Pima,2009,12.328058309589032,975580,9189.44,8138,5187,816,2431,1940,3247,834.1704421984871,531.6837163533488,83.64255109780848,249.18510014555443,198.85606510998585,332.82765124336294,106.163161193718,14.550774960488098
55,California,Alameda,2009,12.862969158904134,1498539,821.26,8799,5871,815,2833,2223,3648,587.1719054358946,391.7815952737967,54.38630559498285,189.0508021479588,148.34448753085505,243.43710774294163,1824.6828044711783,17.357450098641806
56,California,Humboldt,2009,2.9076860415512433,133744,4052.52,1026,635,107,318,210,425,767.1372173704989,474.7876540256012,80.00358894604618,237.76767555927745,157.01638952027756,317.77126450532364,33.00267487884082,4.1087996721001625
57,California,Contra Costa,2009,8.333274496287125,1037890,802.18,6929,4526,718,2082,1726,2800,667.6044667546656,436.07704091955793,69.1788147106148,200.59929279596105,166.2989334129821,269.77810750657585,1293.836794734349,10.345286977340796
58,Arkansas,Pulaski,2009,9.14633706027397,380053,807.91,3175,2001,295,972,734,1267,835.4097981071061,526.5055137046676,77.62075289499096,255.75380275908887,193.13095805058768,333.3745556540798,470.41502147516434,9.88656983123912
59,California,Imperial,2009,13.922319947222121,172008,4482.08,700,468,60,279,129,339,406.9578159155389,272.0803683549602,34.88209850704619,162.20175805776475,74.9965117901493,197.08385656481096,38.376825045514586,14.536703068759099
60,Texas,Dallas,2009,12.460050929936314,2346378,908.87,13931,8656,1194,4294,3168,5488,593.723602931838,368.90901636479714,50.88694149024583,183.0054662974167,135.01660857713463,233.8924077876625,2581.643139282846,15.35942080395434
0,North Dakota,Cass,2010,5.418301605479465,149778,1768.0,732,466,75,244,147,319,488.7233104995393,311.12713482620944,50.07410968232985,162.9077701665131,98.1452549773665,212.9818798488429,84.71606334841628,5.134675142719852
1,California,Humboldt,2010,2.6348533177441573,134623,4052.52,1035,639,127,308,204,435,768.8136499706587,474.6588621557981,94.33752033456392,228.78705718933617,151.53428463189798,323.1245775239001,33.21957695458628,3.8085212644629323
2,Arkansas,Pulaski,2010,10.004748837499944,382748,807.91,3234,2020,225,1025,770,1250,844.9423641665012,527.7623919654708,58.78541494664897,267.80022364584534,201.1767533729765,326.58563859249426,473.7507890730403,9.639825574250736
3,Pennsylvania,York,2010,11.458177520190016,434972,910.34,3505,2283,310,1065,908,1375,805.7989939582318,524.8613703870594,71.2689552430961,244.84334623837856,208.74906890558472,316.1123014814747,477.8126853703012,12.461767172697934
4,California,Los Angeles,2010,20.44729551851863,9818605,4752.32,56740,40346,5243,20862,14241,26105,577.8824996015219,410.91377033702855,53.39862434633025,212.47417530290707,145.04097068779117,265.8727996492373,2066.065626893812,23.010166028789566
5,New York,Steuben,2010,0.8316376423076919,98990,1404.17,821,570,120,291,159,411,829.3767047176482,575.8157389635317,121.2243660975856,293.9690877866451,160.62228507930095,415.19345388423073,70.49716202454118,2.2784267641669116
6,Idaho,Ada,2010,9.39700466944445,392365,1060.38,2173,1345,215,594,536,809,553.8210594726849,342.79306258203457,54.79591706701668,151.3896499432926,136.6074955717253,206.18556701030928,370.0230106188348,6.337445621621625
7,Massachusetts,Suffolk,2010,17.05275001244811,722023,120.07,4464,2798,355,1255,1188,1610,618.2628531224074,387.5222811461685,49.16740879445669,173.81717756913562,164.53769478257618,222.9845863635923,6013.350545515116,18.950047507445287
8,Texas,McLennan,2010,2.802922192634563,234906,1060.27,1843,1209,195,580,434,775,784.5691468076592,514.6739546882583,83.01192817552554,246.90727354771695,184.7547529650158,329.9192017232425,221.55300065077765,2.796341048088441
9,Arizona,Maricopa,2010,17.92351301842257,3817117,9224.86,24815,15092,2147,7042,5903,9189,650.0979666067349,395.376929761388,56.246638497064666,184.48478262521164,154.64550863911165,240.73142112227632,413.7859002738253,21.402311820915628
10,California,Santa Barbara,2010,2.12437892102844,423895,3789.56,2709,1832,236,950,646,1186,639.0733554300003,432.1824980242749,55.67416459264676,224.11210323311195,152.39623019851615,279.7862678257587,111.8586326644782,3.892666024338721
11,Texas,Dallas,2010,13.10613771787717,2368139,908.87,14039,8825,1241,4317,3267,5558,592.8283770505026,372.65549023938206,52.40401851411594,182.29504264741217,137.95642907785398,234.6990611615281,2605.586057411951,14.579614358634611
12,New Hampshire,Hillsborough,2010,7.668570667910461,400721,892.28,2618,1671,290,728,653,1018,653.3223863985166,416.99836045527934,72.36955387913287,181.6725352552025,162.956271320944,254.04208913433536,449.09781682879816,7.909344404001179
13,Arizona,Pima,2010,12.094548089912275,980263,9189.44,8114,5121,884,2318,1919,3202,827.7370460784504,522.4108224017432,90.17988029743036,236.46715218262847,195.7637899216843,326.6470324800589,106.67276787268864,13.953092496176401
14,Connecticut,Hartford,2010,7.849906907514456,894014,750.61,7487,4977,669,2502,1806,3171,837.4589212249473,556.7026914567333,74.83104291431678,279.8613891952475,202.01025934716907,354.69243210956427,1191.0499460438843,7.925656360236499
15,Texas,Bexar,2010,6.402237328358234,1714773,1256.76,11106,6731,911,3377,2443,4288,647.6659009676499,392.53008998858735,53.126565440440224,196.93568769743865,142.46783685070852,250.06225313787888,1364.4395111238423,6.756740228635632
16,Pennsylvania,Washington,2010,8.988173144859818,207820,861.0,2304,1464,219,696,549,915,1108.65171783274,704.4557790395535,105.37965547108077,334.90520642864016,264.17091713983257,440.28486189972097,241.3704994192799,10.518180669006256
17,Kansas,Wyandotte,2010,13.066675312865529,157505,155.7,1103,655,100,314,241,414,700.2952287228976,415.8598139741595,63.49004793498619,199.35875051585663,153.0110155233167,262.8487984508428,1011.592806679512,15.028048818558654
18,Pennsylvania,Bucks,2010,8.910391264423048,625249,622.15,5243,3447,506,1573,1368,2079,838.5459233041556,551.3003619358049,80.92775838106098,251.5797706193852,218.79283293535855,332.5075290004462,1004.9811138792896,12.01801108491912
19,California,Contra Costa,2010,7.608833458112407,1049025,802.18,6829,4589,666,2204,1719,2870,650.9854388598936,437.4538261719216,63.48752412954887,210.09985462691543,163.8664474154572,273.5873787564644,1307.717719215139,9.82446683651529
20,Illinois,Saint Clair,2010,11.433345902777768,270056,673.99,2246,1474,230,714,530,944,831.6793553929556,545.8127203246734,85.16752081049856,264.38960808128684,196.255591432888,349.5571288917854,400.6825027077553,14.76424576739061
21,Tennessee,Blount,2010,0.8958425559566805,123010,566.66,1155,688,147,292,249,439,938.9480530038207,559.3041216161288,119.50247947321355,237.37907487196165,202.4225672709536,356.8815543451752,217.0790244591113,1.0052602336855458
22,Pennsylvania,Cambria,2010,8.430811570093455,143679,693.48,1708,1138,158,617,363,775,1188.7610576354234,792.0433744666932,109.9673577906305,429.429492131766,252.64652454429665,539.3968499223964,207.18549922131857,8.7848325196696
