State,County,year,Factors,value
California,Humboldt,2012,avg(SO2 Mean),-0.1407108700543057
California,Imperial,2012,avg(SO2 Mean),0.4642419156441704
California,Los Angeles,2013,avg(SO2 Mean),0.4263443740045495
California,Orange,2013,avg(SO2 Mean),0.2222270340356561
California,San Diego,2013,avg(SO2 Mean),0.1274259680232552
California,Santa Clara,2013,avg(SO2 Mean),0.3404481189821177
California,Alameda,2013,avg(SO2 Mean),0.5037992376373628
California,San Bernardino,2013,avg(SO2 Mean),0.8098884911242614
California,Riverside,2013,avg(SO2 Mean),0.1605589142194746
California,Sacramento,2013,avg(SO2 Mean),0.580104000000001
California,Fresno,2013,avg(SO2 Mean),0.5785904138888883
California,Contra Costa,2013,avg(SO2 Mean),0.4702499028741325
California,Santa Barbara,2013,avg(SO2 Mean),0.8848569376146815
California,Solano,2013,avg(SO2 Mean),0.5927553739726027
California,Humboldt,2013,avg(SO2 Mean),0.0850591406705538
California,Imperial,2013,avg(SO2 Mean),0.673908623376626
California,Los Angeles,2014,avg(SO2 Mean),0.4758175781927301
California,Orange,2014,avg(SO2 Mean),0.3011387225352125
California,San Diego,2014,avg(SO2 Mean),0.103239182432432
California,Santa Clara,2014,avg(SO2 Mean),0.2354146547945204
California,Alameda,2014,avg(SO2 Mean),0.4894526671232884
California,San Bernardino,2014,avg(SO2 Mean),0.6952251556195992
California,Riverside,2014,avg(SO2 Mean),0.2438253701657461
California,Sacramento,2014,avg(SO2 Mean),0.7177100791666681
California,Fresno,2014,avg(SO2 Mean),0.4810378887362628
California,Contra Costa,2014,avg(SO2 Mean),0.7019523437213562
California,Santa Barbara,2014,avg(SO2 Mean),0.4924893952205938
California,Solano,2014,avg(SO2 Mean),0.637522361643835
California,Humboldt,2014,avg(SO2 Mean),0.2812930693173828
California,Imperial,2014,avg(SO2 Mean),0.8098751428571438
California,Los Angeles,2015,avg(SO2 Mean),0.4478356188034186
California,Orange,2015,avg(SO2 Mean),0.1316449347826085
California,San Diego,2015,avg(SO2 Mean),0.1025187375366566
California,Santa Clara,2015,avg(SO2 Mean),0.2897990455801102
California,Alameda,2015,avg(SO2 Mean),0.7515272225274752
California,San Bernardino,2015,avg(SO2 Mean),0.4643676638537272
California,Riverside,2015,avg(SO2 Mean),0.2547468924581008
California,Sacramento,2015,avg(SO2 Mean),1.7524448318965504
California,Fresno,2015,avg(SO2 Mean),0.4978033357348707
California,Contra Costa,2015,avg(SO2 Mean),0.7556326484374973
California,Santa Barbara,2015,avg(SO2 Mean),0.1410318381665136
California,Solano,2015,avg(SO2 Mean),0.6528854104683195
California,Humboldt,2015,avg(SO2 Mean),0.0270785837988826
California,Imperial,2015,avg(SO2 Mean),0.7247742472222224
California,Santa Clara,2016,avg(SO2 Mean),0.244674219008264
California,Alameda,2016,avg(SO2 Mean),0.933726965811966
California,San Bernardino,2016,avg(SO2 Mean),0.2485591306818181
California,Sacramento,2016,avg(SO2 Mean),2.5001772321428573
California,Fresno,2016,avg(SO2 Mean),0.0692463189655172
California,Contra Costa,2016,avg(SO2 Mean),0.939742663434904
California,Santa Barbara,2016,avg(SO2 Mean),0.1908152235576921
California,Solano,2016,avg(SO2 Mean),0.6115325330578508
California,Humboldt,2016,avg(SO2 Mean),0.3646409780219787
California,Imperial,2016,avg(SO2 Mean),0.7990270659340656
California,Los Angeles,2010,NO2_tenyears,27.253925825846217
California,Orange,2010,NO2_tenyears,15.441700463313897
California,San Diego,2010,NO2_tenyears,19.52177906440705
California,Santa Clara,2010,NO2_tenyears,13.408175269841278
California,Alameda,2010,NO2_tenyears,18.1187440775719
California,San Bernardino,2010,NO2_tenyears,20.25758801965544
California,Riverside,2010,NO2_tenyears,20.630193658733948
California,Sacramento,2010,NO2_tenyears,12.988722698517648
California,Fresno,2010,NO2_tenyears,14.81871463415399
California,Contra Costa,2010,NO2_tenyears,11.132765552545496
